,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,DROPOUT,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_95_coverage,METRIC_median_avg_inverval_score,METRIC_quantile_uncertainty_vs_accuracy_slope,METRIC_quantile_uncertainty_vs_accuracy_cor,METRIC_extrapolation_quantile_uncertainty_vs_proximity_slope,METRIC_quantile_uncertainty_vs_proximity_cor,METRIC_interpolation_quantile_uncertainty_vs_proximity_slope,METRIC_extrapolation_quantile_uncertainty_spread,METRIC_interpolation_quantile_uncertainty_spread,METRIC_interpolation_quantile_uncertainty_min,METRIC_pm2_std_uncertainty_vs_accuracy_slope,METRIC_pm2_std_uncertainty_vs_accuracy_cor,METRIC_extrapolation_pm2_std_uncertainty_vs_proximity_slope,METRIC_pm2_std_uncertainty_vs_proximity_cor,METRIC_interpolation_pm2_std_uncertainty_vs_proximity_slope,METRIC_extrapolation_pm2_std_uncertainty_spread,METRIC_interpolation_pm2_std_uncertainty_spread,METRIC_interpolation_pm2_std_uncertainty_min,filename,STATE_DICT_PATH
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,1,20000.0,20000,20000,519.3274965286255,,,,0.018929840996861458,0.02243179827928543,0.014280542731285095,0.01642671972513199,0.05050772428512573,0.07212382555007935,0.009201806038618088,0.30000001192092896,0.02929004654288292,0.12789821640809737,0.02016988606027645,0.2546157069843921,0.8669163801546884,0.13931764633189214,0.16553017497062683,0.06298497319221497,0.00097617506980896,0.3313865281473957,0.09083911293342872,0.26227435473092914,0.8502052966190268,0.0996379747228189,0.21689534187316895,0.04686005041003227,0.0015077521093189716,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_19-59-57 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_19-59-57 (1).pth
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,1,30000.0,30000,30000,786.7292575836182,,,,0.019689155742526054,0.021009379997849464,0.014782481826841831,0.015550261363387108,0.05084112286567688,0.06413280963897705,0.008782130666077137,0.2666666805744171,0.030659426003694534,0.6953137333950927,0.11048692198397266,0.22839997840265033,0.8874844927703374,0.1452571873138498,0.16171661019325256,0.06859908252954483,0.00031426548957824707,0.42990587823804016,0.09017742931465836,0.22478896271983353,0.8735604373239543,0.11120737594085496,0.16518190503120422,0.04679618403315544,0.0006999348988756537,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_19-59-57 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_19-59-57 (2).pth
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,1,10000.0,10000,10000,263.19221591949463,,,,0.01963091641664505,0.023639952763915062,0.014685289934277534,0.017594436183571815,0.05122774839401245,0.07859307527542114,0.010445529595017433,0.46666669845581055,0.03682085871696472,1.3031772107849795,0.2335312136140131,0.21600466804831897,0.9205959786969843,0.14941431879619513,0.13095957040786743,0.05941560119390488,0.000553131103515625,0.7068553593961211,0.2360431890118854,0.29329323294680626,0.5850476041727263,0.0819096288695718,0.24582791328430176,0.05937614291906357,0.00154096947517246,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_19-59-57.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_19-59-57.pth
3,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,2,20000.0,20000,20000,531.9304485321045,,,,0.01689392514526844,0.017172565683722496,0.01388542354106903,0.01377500407397747,0.035734981298446655,0.043628253042697906,0.007899343967437744,0.5,0.03031061217188835,7.161789873733475,0.3248626013480625,0.21617109205231105,0.778597797082451,0.07543157445273024,0.11635124683380127,0.05250304937362671,0.0013501346111297607,11.931735798924192,0.6108246079245143,0.7913961126013934,0.905957984769118,0.12848036245207414,0.6304770708084106,0.06829294562339783,0.0026732641272246838,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-13-10 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-13-10 (1).pth
4,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,2,30000.0,29950,30000,789.2858791351318,,,,0.01653982512652874,0.01615717262029648,0.013813095167279243,0.013442626222968102,0.03360569477081299,0.035816490650177,0.007904947735369205,0.40000003576278687,0.03747686743736267,4.432456495989559,0.1600526001279649,0.2738162789522154,0.8413416286895321,0.09884179792675934,0.16463908553123474,0.060652755200862885,0.00098341703414917,7.15947407290758,0.2542094823593603,1.0410930066594501,0.9175826019259539,0.13410422358047652,0.9408103227615356,0.06639502197504044,0.0021248357370495796,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-13-10 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-13-10 (2).pth
5,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,2,10000.0,10000,10000,271.2048017978668,,,,0.016912298277020454,0.01891419291496277,0.013517181389033794,0.014671199023723602,0.03837805986404419,0.053852617740631104,0.00981063861399889,0.7000000476837158,0.04123443365097046,7.110630345347249,0.38847452707370755,0.30453547532792463,0.8332467983598232,0.07819969187542752,0.17880836129188538,0.050724249333143234,0.0010223686695098877,8.786523658400215,0.6934668572857702,0.3557887420456961,0.7547581260795353,0.08588207449266341,0.2820202112197876,0.06176462024450302,0.0011739138280972838,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-13-10.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-13-10.pth
6,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,3,20000.0,19850,20000,767.2951052188873,,,,0.01882699877023697,0.019497698172926903,0.014093565754592419,0.01456202007830143,0.052212029695510864,0.05487075448036194,0.007447222247719765,0.23333334922790527,0.02534373477101326,0.23049601781544224,0.03506091544264927,0.190648324725027,0.9229296514444288,0.06444575156446457,0.1205756664276123,0.0283825621008873,0.0005594491958618164,0.6344153708904792,0.10432166288217977,0.18774992626480339,0.9130960039354308,0.058877883966227534,0.11828339844942093,0.024684259667992592,0.0010072644799947739,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-26-33 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-26-33 (1).pth
7,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,3,30000.0,25900,30000,1149.7563247680664,,,,0.0187290757894516,0.019180389121174812,0.013972699642181396,0.014361955225467682,0.052156656980514526,0.0523906946182251,0.0094063151627779,0.23333334922790527,0.02519846148788929,-0.2337352825484128,-0.04428022316111327,0.21931140468014387,0.9410728998213673,0.09922354617537364,0.11600470542907715,0.041395049542188644,0.0009348616003990173,-0.028151459172072606,-0.005403630100619456,0.19098861255930522,0.9232886028601328,0.05227760596054959,0.10292359441518784,0.023195695132017136,0.0011931027984246612,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-26-33 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-26-33 (2).pth
8,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,3,10000.0,10000,10000,380.1942415237427,,,,0.01885964907705784,0.02299349568784237,0.01407915074378252,0.01682191714644432,0.05264401435852051,0.07636788487434387,0.008474715054035187,0.3333333432674408,0.028851699084043503,0.06923154801215423,0.017477650591345595,0.2899591361563434,0.9270694557535784,0.07434873894838134,0.2251283824443817,0.03723275661468506,0.001426011323928833,0.33869181404008714,0.15679975562294945,0.2231093906330327,0.47476178951232506,0.038244992508441523,0.20509923994541168,0.046221036463975906,0.0014439544174820185,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-26-33.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-26-33.pth
9,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,4,20000.0,19550,20000,751.4110927581787,,,,0.01753982901573181,0.017009640112519264,0.014113216660916805,0.014047438278794289,0.042473360896110535,0.03670787066221237,0.007498720660805702,0.40000003576278687,0.029060987755656242,4.7638031377929515,0.2904094371877396,0.4629151338170901,0.8426543186329651,0.0737451949677637,0.30136001110076904,0.046786949038505554,0.001091986894607544,3.0644751881285517,0.16499377354662936,0.4632802452454301,0.9227874587146647,0.07717354928018863,0.34979063272476196,0.038129303604364395,0.0009688733844086528,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-45-49 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-45-49 (1).pth
