,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,MODEL,VARIATIONAL_FAMILY,PRIOR_HYPERPARAMETERS,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,HOW_OFTEN,FUNCTIONAL,PROJECTION_METHOD,LIKELIHOOD_STD,N_MC_SAMPLES,WEIGHTING,DEFAULT_INITIALIZATION,EXTRA_STD,N_POSTERIOR_SAMPLES_EVALUATION,N_POSTERIOR_SAMPLES,SHOW_DIAGNOSTICS,EXACT_WEIGHT_KL,N_MEAS,MEASUREMENT_SET_SAMPLER,GAUSSIAN_APPROXIMATION,SSGE_HYPERPARAMETERS,APPROXIMATE_GAUSSIAN_MEAN,POST_GP_ETA,MAKE_GIF,TITLE,SHOW_PLOT,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_val_lik,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_95_coverage,METRIC_median_avg_inverval_score,METRIC_quantile_uncertainty_vs_accuracy_slope,METRIC_quantile_uncertainty_vs_accuracy_cor,METRIC_extrapolation_quantile_uncertainty_vs_proximity_slope,METRIC_quantile_uncertainty_vs_proximity_cor,METRIC_interpolation_quantile_uncertainty_vs_proximity_slope,METRIC_extrapolation_quantile_uncertainty_spread,METRIC_interpolation_quantile_uncertainty_spread,METRIC_interpolation_quantile_uncertainty_min,METRIC_pm2_std_uncertainty_vs_accuracy_slope,METRIC_pm2_std_uncertainty_vs_accuracy_cor,METRIC_extrapolation_pm2_std_uncertainty_vs_proximity_slope,METRIC_pm2_std_uncertainty_vs_proximity_cor,METRIC_interpolation_pm2_std_uncertainty_vs_proximity_slope,METRIC_extrapolation_pm2_std_uncertainty_spread,METRIC_interpolation_pm2_std_uncertainty_spread,METRIC_interpolation_pm2_std_uncertainty_min,filename,STATE_DICT_PATH
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,True,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,1,7249.0,5049,7248,238.4774808883667,25.0,0.15,15.0,0.16610613465309143,-930.7070922851562,0.1729467213153839,0.17350603640079498,0.1408160924911499,0.14376138150691986,0.48460158705711365,0.4774004817008972,0.0659051164984703,0.8666667342185974,0.4877780079841614,-0.004317651017086191,-0.01567706691690986,0.02594538524849947,0.08795795848792023,0.009602187049536002,0.06296341121196747,0.08262321352958679,0.15864162147045135,-0.003851707423494852,-0.013545702796368566,0.025444295584621336,-0.32201002419805597,-0.009351314737190149,0.027454964816570282,0.02297571301460266,0.13226471841335297,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-19-10 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-19-10 (1).pth
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,True,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,1,9249.0,8649,9248,311.82630705833435,75.0,0.05,15.0,0.1612921526034673,-432.6816711425781,0.17863143980503082,0.17607787251472473,0.14924940466880798,0.14645597338676453,0.49403685331344604,0.4891241788864136,0.07358235120773315,0.8333333730697632,0.5220780372619629,0.11174904130336874,0.5586383766333869,0.022362763694309017,-0.11572442072760845,-0.01203658842401409,0.061424121260643005,0.07115436345338821,0.13980761170387268,0.11477915237830569,0.5624811919507661,0.02355469516026033,-0.35006468731425455,-0.014340868837969185,0.02254166454076767,0.026065975427627563,0.11729162186384201,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-19-10 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-19-10 (2).pth
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,True,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,1,10000.0,8649,10000,341.6726746559143,,,,0.15922536849975585,-449.43798828125,0.1788947731256485,0.1790231317281723,0.14837463200092316,0.15052787959575653,0.4958032965660095,0.4867754578590393,0.07259607315063477,0.8333333730697632,0.43777406215667725,0.054603771782319045,0.29111011622342103,0.02682767417064781,-0.2613512458009035,-0.024254185841155955,0.0693359225988388,0.06436111032962799,0.11379627883434296,0.05789650736768031,0.2958981369652612,0.027687090227055944,-0.240456326690713,-0.008183202696027245,0.034671440720558167,0.021308422088623047,0.10426244884729385,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-19-10 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-19-10 (3).pth
3,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,True,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,1,20000.0,16749,20000,672.3227694034576,,,,0.13935993711153666,-48.136688232421875,0.15281878411769867,0.1484416425228119,0.11839287728071213,0.11183536797761917,0.46111005544662476,0.45671147108078003,0.04740532115101814,0.8333333730697632,0.4473479688167572,-0.10688589966838387,-0.4720013982961788,0.0455110433686238,0.06757800808022399,0.005331443686537361,0.08159804344177246,0.06359708309173584,0.10360738635063171,-0.10931284795296313,-0.4742035084321224,0.03434963683876153,-0.33956918633866773,-0.0169587767791669,0.02972903847694397,0.03177475929260254,0.08723503351211548,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-19-10 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-19-10 (4).pth
4,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,True,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,1,30000.0,25299,30000,997.2658731937408,,,,0.09428217907746633,-377.9580993652344,0.11303333193063736,0.10831206291913986,0.08824378997087479,0.08450822532176971,0.35222601890563965,0.3458714187145233,0.04233875125646591,0.9333333969116211,0.3399984836578369,0.20402069509571738,0.4393529256822564,0.05438333184621465,-0.44916016302628436,-0.06330261980796495,0.12322981655597687,0.10131847858428955,0.09825184941291809,0.20994627800891366,0.4280686771712657,0.04825013145447983,-0.44702606259362015,-0.03428443776332271,0.08509348332881927,0.05070904642343521,0.08219942450523376,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-19-10 (5).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-19-10 (5).pth
5,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,True,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,1,2899.0,349,2898,91.96304392814636,25.0,0.05,15.0,0.19548975229263305,-919.2548828125,0.20885086059570312,0.20857523381710052,0.19343145191669464,0.19325360655784607,0.40985018014907837,0.4178973436355591,0.13096734881401062,0.9666666984558105,0.6266112923622131,-0.018161535174788846,-0.039541965651749805,0.021738653331415215,0.22582453455996057,0.02325537474811026,0.114301398396492,0.07522925734519958,0.17459937930107117,-0.026389074054497804,-0.05981369517259279,0.021759356313317536,-0.23991051140441388,-0.010179534828221641,0.029301345348358154,0.02902303636074066,0.16172544658184052,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-19-10.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-19-10.pth
6,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,False,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,2,20000.0,16749,20000,307.5898394584656,,,,0.15241698225339254,-409.7579650878906,0.17470774054527283,0.17254845798015594,0.14765097200870514,0.14527283608913422,0.4772254228591919,0.47342920303344727,0.07159000635147095,0.8000000715255737,0.3599581718444824,-0.08335922583384216,-0.2924250285515148,0.036676034801896094,-0.5115663121260694,-0.047008282801341894,0.07262840867042542,0.05597314238548279,0.09636890888214111,-0.08685977695077622,-0.3015663971503943,0.025542952246657133,-0.4968071844419138,-0.020897921793951973,0.02358587086200714,0.025308780372142792,0.08086603879928589,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-35-54 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-35-54 (1).pth
7,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,False,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,2,30000.0,28299,30000,459.3778793811798,,,,0.13665866553783418,-347.708984375,0.15924127399921417,0.15499474108219147,0.1290375143289566,0.12396731972694397,0.46245232224464417,0.4590925872325897,0.05882814899086952,0.8000000715255737,0.29386958479881287,0.1825218268066207,0.6350700478901088,0.029878316839508385,-0.2748786335257626,-0.021685760142113063,0.046940937638282776,0.05487765371799469,0.08038961887359619,0.18141250980527576,0.6170387985323688,0.02302254166578883,-0.5155175862381519,-0.020553271586879647,0.023003362119197845,0.025821764022111893,0.06839202344417572,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-35-54 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-35-54 (2).pth
8,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Uniform,"{'pi': 0.25, 'sigma1': 0.1353352832366127, 'sigma2': 0.0024787521766663585}",Adam,1e-05,600,True,15,50,False,HARD,0.03,1,standard,{'type': 'torch.nn.init'},True,100,50,False,False,200,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.1, 'post_eta': 0.1, 'prior_M': 100, 'post_M': 100}",False,,False,,False,,,,True,2,10000.0,5199,10000,150.36548852920532,,,,0.16157800455888113,-822.977294921875,0.18414556980133057,0.17775830626487732,0.15563546121120453,0.14608685672283173,0.4900575280189514,0.4907841980457306,0.07094808667898178,0.8000000715255737,0.4634239077568054,0.028495678567624416,0.12087185206118051,0.0026241718740101236,-0.4279839973879904,-0.04473115263044427,0.05220098793506622,0.07337446510791779,0.1315978467464447,0.02686992603731151,0.1153305134130328,0.018018163821884543,-0.4612261834182778,-0.02673690305126459,0.03761672228574753,0.03465444594621658,0.11555948853492737,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-35-54.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-35-54.pth
9,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,MixturePrior2015BNN,Normal,"{'pi': 0.5, 'sigma1': 1.0, 'sigma2': 0.00033546262790251185}",Adam,0.005,600,True,15,50,True,HARD,0.02,1,standard,{'type': 'Xavier'},True,100,50,False,False,50,data_only,False,"{'prior_J': 100, 'post_J': 25, 'prior_eta': 0.001, 'post_eta': 0.001, 'prior_M': 100, 'post_M': 400}",False,,False,,False,,,,True,3,11399.0,10999,11398,420.0234136581421,25.0,0.05,15.0,0.01968615986406803,75.43873596191406,0.021190300583839417,0.020454632118344307,0.016554836183786392,0.015718724578619003,0.05584508180618286,0.057156533002853394,0.008903823792934418,0.9666666984558105,0.08530384302139282,2.0887224683296113,0.25432284123965576,0.03689681701630952,-0.21419899587200436,-0.007927144849901584,0.05921405553817749,0.02811369299888611,0.022705987095832825,2.3768500064176683,0.28949495957629234,0.03072760428473619,-0.2850954155381875,-0.006173769655642836,0.03805169090628624,0.016340330243110657,0.01858219876885414,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\2025-10-22_23-43-41 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_priors\hyperparameter_search\experimental_models\2025-10-22_23-43-41 (1).pth
