,DEVICE,DTYPE,SEED,DATA,MODEL,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,N_MC_SAMPLES,DROPOUT,MAKE_GIF,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,N_POSTERIOR_SAMPLES,N_POSTERIOR_SAMPLES_EVALUATION,SHOW_DIAGNOSTICS,SHOW_PLOT,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,METRIC_rmse,METRIC_mae,METRIC_max_norm,filename,STATE_DICT_PATH
0,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,7349.0,4449,7348,10.826000928878784,50.0,-0.1,15.0,0.01875012181699276,0.013932580128312111,0.05258771777153015,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-18-50 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-18-50 (1).pth
1,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,10000.0,4449,10000,15.115143060684204,,,,0.018636640161275864,0.013746097683906555,0.05218580365180969,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-18-50 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-18-50 (2).pth
2,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,20000.0,16649,20000,32.32818865776062,,,,0.0189079437404871,0.014109373092651367,0.05246356129646301,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-18-50 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-18-50 (3).pth
3,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,30000.0,16649,30000,50.41151189804077,,,,0.019208526238799095,0.014206747524440289,0.051211655139923096,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-18-50 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-18-50 (4).pth
4,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,2149.0,549,2148,2.97815203666687,20.0,-0.1,15.0,0.0197697002440691,0.014803663827478886,0.05045834183692932,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-18-50.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-18-50.pth
5,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,4149.0,1299,4148,7.769383430480957,50.0,-0.1,15.0,0.0221214909106493,0.015583633445203304,0.08213546872138977,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-19-44 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-19-44 (1).pth
6,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,10000.0,9749,10000,17.73229432106018,,,,0.01766299456357956,0.013472365215420723,0.053151488304138184,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-19-44 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-19-44 (2).pth
7,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,20000.0,18199,20000,35.610291719436646,,,,0.017474817112088203,0.013759766705334187,0.04290153831243515,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-19-44 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-19-44 (3).pth
8,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,30000.0,29449,30000,51.80926728248596,,,,0.016744554042816162,0.013460054993629456,0.03493030369281769,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-19-44 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-19-44 (4).pth
9,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,2649.0,1299,2648,4.389025688171387,20.0,-0.1,15.0,0.02211061865091324,0.015583310276269913,0.08192919194698334,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-19-44.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-19-44.pth
10,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,9499.0,7549,9498,18.20323944091797,50.0,-0.1,15.0,0.01895221509039402,0.01417100802063942,0.053760796785354614,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-20-40 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-20-40 (1).pth
11,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,10000.0,9999,10000,19.194266319274902,,,,0.01883593760430813,0.014117497950792313,0.05317458510398865,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-20-40 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-20-40 (2).pth
12,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,15699.0,12849,15698,30.926334381103516,20.0,0.1,15.0,0.019827106967568398,0.015141742303967476,0.0453735888004303,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-20-40 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-20-40 (3).pth
13,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,17199.0,12849,17198,34.007527351379395,50.0,0.1,15.0,0.020594846457242966,0.01567111350595951,0.04912480711936951,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-20-40 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-20-40 (4).pth
14,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,6849.0,5449,6848,12.949488401412964,20.0,-0.1,15.0,0.018591176718473434,0.01406772155314684,0.05067673325538635,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-20-40.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-20-40.pth
15,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,2449.0,399,2448,4.481133937835693,20.0,0.1,15.0,0.02039649523794651,0.01531694270670414,0.06953194737434387,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-21-18 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-21-18 (1).pth
16,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,3399.0,399,3398,6.284744739532471,50.0,-0.1,15.0,0.020303377881646156,0.015372290275990963,0.0688866525888443,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-21-18 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-21-18 (2).pth
17,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,3949.0,399,3948,7.447566747665405,50.0,0.1,15.0,0.0204297062009573,0.015488793142139912,0.06935779750347137,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-21-18 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-21-18 (3).pth
18,cuda,float,2024,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,1949.0,399,1948,3.6269001960754395,20.0,-0.1,15.0,0.020253609865903854,0.01524523738771677,0.06911894679069519,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-21-18.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-21-18.pth
19,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,8999.0,8249,8998,18.531267166137695,50.0,-0.1,15.0,0.01793956384062767,0.013986197300255299,0.044297605752944946,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-21-29 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-21-29 (1).pth
20,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30,Adam,0.005,64,True,15,1,,False,50,24,48,6,True,100,1000,False,False,10000.0,8249,10000,20.36929988861084,,,,0.01823553442955017,0.014242627657949924,0.04592156410217285,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\2024-12-29_16-21-29 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar_det_nn\hyperparameter_search\experimental_models\2024-12-29_16-21-29 (2).pth
